strain_stim,jnl,frame,time_s,fluor,dff
odr7p_Bcary_5percent,JNL_10off_120on_50off,181,18.011,27113900.000000004,1.5863690486837727
odr7p_Bcary_5percent,JNL_10off_120on_50off,182,18.111,26849700,0.5965033818980049
odr7p_Bcary_5percent,JNL_10off_120on_50off,183,18.211,26455900,-0.8789284863087696
odr7p_Bcary_5percent,JNL_10off_120on_50off,184,18.311,25998500,-2.5926474718795633
odr7p_Bcary_5percent,JNL_10off_120on_50off,185,18.411,25972900,-2.68856178327137
odr7p_Bcary_5percent,JNL_10off_120on_50off,186,18.511,25338200,-5.0665623082861995
odr7p_Bcary_5percent,JNL_10off_120on_50off,187,18.611,25546600,-4.285759867112274
odr7p_Bcary_5percent,JNL_10off_120on_50off,188,18.711,25410100,-4.797177972775618
odr7p_Bcary_5percent,JNL_10off_120on_50off,189,18.811,25505200,-4.440871292566211
odr7p_Bcary_5percent,JNL_10off_120on_50off,190,18.911,24999200,-6.336677603669888
odr7p_Bcary_5percent,JNL_10off_120on_50off,191,19.011,25079800,-6.034697388897247
odr7p_Bcary_5percent,JNL_10off_120on_50off,192,19.111,25080200,-6.03319872778175
odr7p_Bcary_5percent,JNL_10off_120on_50off,193,19.211,25155800,-5.7499517769528214
odr7p_Bcary_5percent,JNL_10off_120on_50off,194,19.311,25148100.000000004,-5.778801003426124
odr7p_Bcary_5percent,JNL_10off_120on_50off,195,19.411,25111100,-5.917427156609609
odr7p_Bcary_5percent,JNL_10off_120on_50off,196,19.511,25065200,-6.089398519612887
odr7p_Bcary_5percent,JNL_10off_120on_50off,197,19.611,25255500,-5.3764104939152
odr7p_Bcary_5percent,JNL_10off_120on_50off,198,19.711,24959100,-6.4869183804984605
odr7p_Bcary_5percent,JNL_10off_120on_50off,199,19.811,25043700.000000004,-6.169951554570836
odr7p_Bcary_5percent,JNL_10off_120on_50off,200,19.911,24871400,-6.815499830071173
odr7p_Bcary_5percent,JNL_10off_120on_50off,201,20.011,25022700.000000004,-6.248631263134427
odr7p_Bcary_5percent,JNL_10off_120on_50off,202,20.111,24569500,-7.946614306992517
odr7p_Bcary_5percent,JNL_10off_120on_50off,203,20.211,25130900,-5.843243431392509
odr7p_Bcary_5percent,JNL_10off_120on_50off,204,20.311,24942100,-6.550611477907081
odr7p_Bcary_5percent,JNL_10off_120on_50off,205,20.411,25019500,-6.260620552058417
odr7p_Bcary_5percent,JNL_10off_120on_50off,206,20.511,24462700,-8.346756824830209
