strain_stim,jnl,frame,time_ms,fluor
odr7p_NH4Br,JNL_10off_120on_50off,163,16211,197692000
odr7p_NH4Br,JNL_10off_120on_50off,164,16311,198020000
odr7p_NH4Br,JNL_10off_120on_50off,165,16411,197844000
odr7p_NH4Br,JNL_10off_120on_50off,166,16511,197854000
odr7p_NH4Br,JNL_10off_120on_50off,167,16611,197606000
odr7p_NH4Br,JNL_10off_120on_50off,168,16711,197639000
odr7p_NH4Br,JNL_10off_120on_50off,169,16811,197765000
odr7p_NH4Br,JNL_10off_120on_50off,170,16911,197319000
odr7p_NH4Br,JNL_10off_120on_50off,171,17011,196950000
odr7p_NH4Br,JNL_10off_120on_50off,172,17111,197405000
odr7p_NH4Br,JNL_10off_120on_50off,173,17211,196915000
odr7p_NH4Br,JNL_10off_120on_50off,174,17311,196842000
odr7p_NH4Br,JNL_10off_120on_50off,175,17411,196719000
odr7p_NH4Br,JNL_10off_120on_50off,176,17511,196482000
odr7p_NH4Br,JNL_10off_120on_50off,177,17611,NA
odr7p_NH4Br,JNL_10off_120on_50off,178,17711,196579000
odr7p_NH4Br,JNL_10off_120on_50off,179,17811,195937000
odr7p_NH4Br,JNL_10off_120on_50off,180,17911,195561000
odr7p_NH4Br,JNL_10off_120on_50off,181,18011,195930000
odr7p_NH4Br,JNL_10off_120on_50off,182,18111,195636000
odr7p_NH4Br,JNL_10off_120on_50off,183,18211,195455000
odr7p_NH4Br,JNL_10off_120on_50off,184,18311,195392000
odr7p_NH4Br,JNL_10off_120on_50off,185,18411,195612000
odr7p_NH4Br,JNL_10off_120on_50off,186,18511,194882000
odr7p_NH4Br,JNL_10off_120on_50off,187,18611,195466000
odr7p_NH4Br,JNL_10off_120on_50off,188,18711,195095000
odr7p_NH4Br,JNL_10off_120on_50off,189,18811,195369000
odr7p_NH4Br,JNL_10off_120on_50off,190,18911,195257000
odr7p_NH4Br,JNL_10off_120on_50off,191,19011,194951000
odr7p_NH4Br,JNL_10off_120on_50off,192,19111,194789000
odr7p_NH4Br,JNL_10off_120on_50off,193,19211,194938000
odr7p_NH4Br,JNL_10off_120on_50off,194,19311,194223000
odr7p_NH4Br,JNL_10off_120on_50off,195,19411,194687000
odr7p_NH4Br,JNL_10off_120on_50off,196,19511,194171000
odr7p_NH4Br,JNL_10off_120on_50off,197,19611,194310000
odr7p_NH4Br,JNL_10off_120on_50off,198,19711,194240000
odr7p_NH4Br,JNL_10off_120on_50off,199,19811,193713000
odr7p_NH4Br,JNL_10off_120on_50off,200,19911,193951000
odr7p_NH4Br,JNL_10off_120on_50off,201,20011,193952000
odr7p_NH4Br,JNL_10off_120on_50off,202,20111,193637000
odr7p_NH4Br,JNL_10off_120on_50off,203,20211,193866000
odr7p_NH4Br,JNL_10off_120on_50off,204,20311,193177000
odr7p_NH4Br,JNL_10off_120on_50off,205,20411,193529000
odr7p_NH4Br,JNL_10off_120on_50off,206,20511,193223000
odr7p_NH4Br,JNL_10off_120on_50off,207,20611,193122000
odr7p_NH4Br,JNL_10off_120on_50off,208,20711,193183000
odr7p_NH4Br,JNL_10off_120on_50off,209,20811,192974000
odr7p_NH4Br,JNL_10off_120on_50off,210,20911,192636000
odr7p_NH4Br,JNL_10off_120on_50off,211,21011,193033000
odr7p_NH4Br,JNL_10off_120on_50off,212,21111,192893000
odr7p_NH4Br,JNL_10off_120on_50off,213,21211,192402000
odr7p_NH4Br,JNL_10off_120on_50off,214,21311,192401000
odr7p_NH4Br,JNL_10off_120on_50off,215,21411,192633000
odr7p_NH4Br,JNL_10off_120on_50off,216,21511,192715000
odr7p_NH4Br,JNL_10off_120on_50off,217,21611,192690000
odr7p_NH4Br,JNL_10off_120on_50off,218,21711,192352000
odr7p_NH4Br,JNL_10off_120on_50off,219,21811,192580000
odr7p_NH4Br,JNL_10off_120on_50off,220,21911,192587000
odr7p_NH4Br,JNL_10off_120on_50off,221,22011,192385000
odr7p_NH4Br,JNL_10off_120on_50off,222,22111,191890000
odr7p_NH4Br,JNL_10off_120on_50off,223,22211,192484000
odr7p_NH4Br,JNL_10off_120on_50off,224,22311,191997000
odr7p_NH4Br,JNL_10off_120on_50off,225,22411,191763000
odr7p_NH4Br,JNL_10off_120on_50off,226,22511,192202000
odr7p_NH4Br,JNL_10off_120on_50off,227,22611,191739000
odr7p_NH4Br,JNL_10off_120on_50off,228,22711,191571000
odr7p_NH4Br,JNL_10off_120on_50off,229,22811,191467000
odr7p_NH4Br,JNL_10off_120on_50off,230,22911,191591000
odr7p_NH4Br,JNL_10off_120on_50off,231,23011,191787000
odr7p_NH4Br,JNL_10off_120on_50off,232,23111,191460000
odr7p_NH4Br,JNL_10off_120on_50off,233,23211,191835000
odr7p_NH4Br,JNL_10off_120on_50off,234,23311,191334000
odr7p_NH4Br,JNL_10off_120on_50off,235,23411,191299000
odr7p_NH4Br,JNL_10off_120on_50off,236,23511,191297000
odr7p_NH4Br,JNL_10off_120on_50off,237,23611,190872000
