strain_stim,jnl,frame,time_ms,fluor
odr7p_Bcary_5percent,JNL_10off_120on_50off,184,18311,79051500
odr7p_Bcary_5percent,JNL_10off_120on_50off,185,18411,78818600
odr7p_Bcary_5percent,JNL_10off_120on_50off,186,18511,78893900
odr7p_Bcary_5percent,JNL_10off_120on_50off,187,18611,79063800
odr7p_Bcary_5percent,JNL_10off_120on_50off,188,18711,78722300
odr7p_Bcary_5percent,JNL_10off_120on_50off,189,18811,78680500
odr7p_Bcary_5percent,JNL_10off_120on_50off,190,18911,78680700
odr7p_Bcary_5percent,JNL_10off_120on_50off,191,19011,78911800
odr7p_Bcary_5percent,JNL_10off_120on_50off,192,19111,78648200
odr7p_Bcary_5percent,JNL_10off_120on_50off,193,19211,78507500
odr7p_Bcary_5percent,JNL_10off_120on_50off,194,19311,78723800
odr7p_Bcary_5percent,JNL_10off_120on_50off,195,19411,78546000
odr7p_Bcary_5percent,JNL_10off_120on_50off,196,19511,78394100
odr7p_Bcary_5percent,JNL_10off_120on_50off,197,19611,78548100
odr7p_Bcary_5percent,JNL_10off_120on_50off,198,19711,78141900
odr7p_Bcary_5percent,JNL_10off_120on_50off,199,19811,78357100
odr7p_Bcary_5percent,JNL_10off_120on_50off,200,19911,78306600
odr7p_Bcary_5percent,JNL_10off_120on_50off,201,20011,78008200
odr7p_Bcary_5percent,JNL_10off_120on_50off,202,20111,77839800
odr7p_Bcary_5percent,JNL_10off_120on_50off,203,20211,77594000
odr7p_Bcary_5percent,JNL_10off_120on_50off,204,20311,77987500
odr7p_Bcary_5percent,JNL_10off_120on_50off,205,20411,77903500
odr7p_Bcary_5percent,JNL_10off_120on_50off,206,20511,78008700
odr7p_Bcary_5percent,JNL_10off_120on_50off,207,20611,77868800
odr7p_Bcary_5percent,JNL_10off_120on_50off,208,20711,77565500
odr7p_Bcary_5percent,JNL_10off_120on_50off,209,20811,77772200
odr7p_Bcary_5percent,JNL_10off_120on_50off,210,20911,77333400
odr7p_Bcary_5percent,JNL_10off_120on_50off,211,21011,77626900
odr7p_Bcary_5percent,JNL_10off_120on_50off,212,21111,77396400
odr7p_Bcary_5percent,JNL_10off_120on_50off,213,21211,77916600
odr7p_Bcary_5percent,JNL_10off_120on_50off,214,21311,77994300
odr7p_Bcary_5percent,JNL_10off_120on_50off,215,21411,77271300
odr7p_Bcary_5percent,JNL_10off_120on_50off,216,21511,77882400
odr7p_Bcary_5percent,JNL_10off_120on_50off,217,21611,77612400
odr7p_Bcary_5percent,JNL_10off_120on_50off,218,21711,77325700
odr7p_Bcary_5percent,JNL_10off_120on_50off,219,21811,77139000
odr7p_Bcary_5percent,JNL_10off_120on_50off,220,21911,77486000
odr7p_Bcary_5percent,JNL_10off_120on_50off,221,22011,77660800
odr7p_Bcary_5percent,JNL_10off_120on_50off,222,22111,77304400
odr7p_Bcary_5percent,JNL_10off_120on_50off,223,22211,77250000
odr7p_Bcary_5percent,JNL_10off_120on_50off,224,22311,77329700
odr7p_Bcary_5percent,JNL_10off_120on_50off,225,22411,77128300
odr7p_Bcary_5percent,JNL_10off_120on_50off,226,22511,77376500
odr7p_Bcary_5percent,JNL_10off_120on_50off,227,22611,77358900
